epoch,gen_loss,disc_loss,inception,mode
0,6504.24267578125,803.9140625,1.9095922708511353,1.909592628479004
1,3285.16748046875,777.8765869140625,7.988667011260986,7.988668918609619
2,2388.51025390625,794.7371826171875,8.58757209777832,8.587570190429688
3,2785.591552734375,659.482177734375,8.76075553894043,8.760757446289062
4,3377.3818359375,514.7222900390625,8.974750518798828,8.974750518798828
5,3779.6875,446.731689453125,9.064240455627441,9.064240455627441
6,3916.279052734375,418.23553466796875,9.146974563598633,9.146974563598633
7,4534.1083984375,333.48431396484375,9.092146873474121,9.092144966125488
8,4380.81982421875,327.2187194824219,8.982361793518066,8.982359886169434
9,5984.71142578125,97.39854431152344,1.0000001192092896,0.9999995231628418
10,9974.9111328125,0.18835356831550598,0.9999997615814209,0.9999995231628418
11,11042.669921875,0.04154576361179352,1.0,1.000000238418579
12,23777.80078125,0.08324684947729111,1.0,1.0000004768371582
13,34520.5625,0.000455830420833081,1.0,1.0000004768371582
14,34520.5625,0.0001446534151909873,1.0,1.0000004768371582
15,34520.5625,8.561735012335703e-05,1.0,1.0000004768371582
16,34520.5625,4.4104221160523593e-05,1.0,1.0000004768371582
17,34520.5625,2.8784017558791675e-05,1.0,1.0000004768371582
18,34520.5625,1.6706204405636527e-05,1.0,1.0000004768371582
19,34520.5625,9.566576409270056e-06,1.0,1.0000004768371582
20,34520.5625,8.421147867920808e-06,1.0,1.0000004768371582
21,34520.5625,4.198410351818893e-06,1.0,1.0000004768371582
22,34520.5625,2.257527057736297e-06,1.0,1.0000004768371582
23,34520.5625,2.233314944533049e-06,1.0,1.0000004768371582
24,34520.5625,1.1529781431818265e-06,1.0,1.0000004768371582
25,34520.5625,7.785859565956343e-07,1.0,1.0000004768371582
26,34520.5625,4.5262285652825085e-07,1.0,1.0000004768371582
27,34520.5625,2.5704508743729093e-07,1.0,1.0000004768371582
28,34520.5625,1.6018749704471702e-07,1.0,1.0000004768371582
29,34520.5625,1.1920930376163597e-07,1.0,1.0000004768371582
30,34520.5625,7.264316792543468e-08,1.0,1.0000004768371582
31,34520.5625,4.470348713425665e-08,1.0,1.0000004768371582
32,34520.5625,2.0489098417897367e-08,1.0,1.0000004768371582
33,34520.5625,2.980232594040899e-08,1.0,1.0000004768371582
34,34520.5625,5.587936335871291e-09,1.0,1.0000004768371582
35,34520.5625,9.313226634333205e-09,1.0,1.0000004768371582
36,34520.5625,3.725290742551124e-09,1.0,1.0000004768371582
37,34520.5625,1.862645371275562e-09,1.0,1.0000004768371582
38,34520.5625,0.0,1.0,1.0000004768371582
39,34520.5625,1.862645371275562e-09,1.0,1.0000004768371582
40,34520.5625,1.862645371275562e-09,1.0,1.0000004768371582
41,34520.5625,0.0,1.0,1.0000004768371582
42,34520.5625,3.725290742551124e-09,1.0,1.0000004768371582
43,34520.5625,0.0,1.0,1.0000004768371582
44,34520.5625,0.0,1.0,1.0000004768371582
45,34520.5625,0.0,1.0,1.0000004768371582
46,34520.5625,0.0,1.0,1.0000004768371582
47,34520.5625,0.0,1.0,1.0000004768371582
48,34520.5625,0.0,1.0,1.0000004768371582
49,34520.5625,0.0,1.0,1.0000004768371582
50,34520.5625,0.0,1.0,1.0000004768371582
51,34520.5625,0.0,1.0,1.0000004768371582
52,34520.5625,0.0,1.0,1.0000004768371582
53,34520.5625,0.0,1.0,1.0000004768371582
54,34520.5625,0.0,1.0,1.0000004768371582
55,34520.5625,7.450581485102248e-09,1.0,1.0000004768371582
56,34520.5625,0.0,1.0,1.0000004768371582
57,34520.5625,0.0,1.0,1.0000004768371582
58,34520.5625,0.0,1.0,1.0000004768371582
59,34520.5625,0.0,1.0,1.0000004768371582
60,34520.5625,0.0,1.0,1.0000004768371582
61,34520.5625,0.0,1.0,1.0000004768371582
62,34520.5625,0.0,1.0,1.0000004768371582
63,34520.5625,0.0,1.0,1.0000004768371582
64,34520.5625,0.0,1.0,1.0000004768371582
65,34520.5625,0.0,1.0,1.0000004768371582
66,34520.5625,0.0,1.0,1.0000004768371582
67,34520.5625,0.0,1.0,1.0000004768371582
68,34520.5625,0.0,1.0,1.0000004768371582
69,34520.5625,0.0,1.0,1.0000004768371582
70,34520.5625,0.0,1.0,1.0000004768371582
71,34520.5625,0.0,1.0,1.0000004768371582
72,34520.5625,0.0,1.0,1.0000004768371582
73,34520.5625,0.0,1.0,1.0000004768371582
74,34520.5625,0.0,1.0,1.0000004768371582
75,34520.5625,0.0,1.0,1.0000004768371582
76,34520.5625,0.0,1.0,1.0000004768371582
77,34520.5625,0.0,1.0,1.0000004768371582
78,34520.5625,0.0,1.0,1.0000004768371582
79,34520.5625,0.0,1.0,1.0000004768371582
80,34520.5625,0.0,1.0,1.0000004768371582
81,34520.5625,0.0,1.0,1.0000004768371582
82,34520.5625,0.0,1.0,1.0000004768371582
83,34520.5625,0.0,1.0,1.0000004768371582
84,34520.5625,0.0,1.0,1.0000004768371582
85,34520.5625,0.0,1.0,1.0000004768371582
86,34520.5625,0.0,1.0,1.0000004768371582
87,34520.5625,0.0,1.0,1.0000004768371582
88,34520.5625,0.0,1.0,1.0000004768371582
89,34520.5625,0.0,1.0,1.0000004768371582
90,34520.5625,0.0,1.0,1.0000004768371582
91,34520.5625,0.0,1.0,1.0000004768371582
92,34520.5625,0.0,1.0,1.0000004768371582
93,34520.5625,0.0,1.0,1.0000004768371582
94,34520.5625,0.0,1.0,1.0000004768371582
95,34520.5625,0.0,1.0,1.0000004768371582
96,34520.5625,0.0,1.0,1.0000004768371582
97,34520.5625,0.0,1.0,1.0000004768371582
98,34520.5625,0.0,1.0,1.0000004768371582
99,34520.5625,0.0,1.0,1.0000004768371582
